科號,中文課名,英文課名,學分,上課時間,教室,教師,人限,總人數,備註欄,此課程已列入之系所班別,遠距課,授課語言,通識對象,通識分類,code,系所全名,院全名,課程字頭,課程屬性,學年期,第一二專長對應,學分學程對應,科目名稱 Course Name,授課教師 Teacher,修課人數 Enrollment,等級制,等級制.1,百分制,百分制.1
11120LANG200032,中高級選讀英文-學術英語聽力,AcademicListeningTraining,2,W5W6,綜二202,林嘉瑜,24,22,1、2選:限同級數大二生，3選:限同級數大三、大四生，加退選:開放同級數大二至大四生修習。,,,英,,,LANG,英語教育中心,竹師教育學院,2,大學部,11120,,,中高級選讀英文-學術英語聽力 Academic Listening Training,"林嘉瑜 LIN, CHIA-YU",22,3.26,0.17,78.68,8.89
11120LANG200033,中高級選讀英文-學術論文寫作,AcademicWriting,2,W5W6,教102,黃滿庭,16,15,1、2選:限同級數大二生，3選:限同級數大三、大四生，加退選:開放同級數大二至大四生修習。,,,英,,,LANG,英語教育中心,竹師教育學院,2,大學部,11120,,,中高級選讀英文-學術論文寫作 Academic Writing,"黃滿庭 HUANG, MAN-TING",15,3.74,0.09,84.67,4.53
11120LANG200034,中高級選讀英文-職場英語口語表達,OralCommunicationforProfessionalContexts,2,W5W6,綜二104,彭明玉,24,22,1、2選:限同級數大二生，3選:限同級數大三、大四生，加退選:開放同級數大二至大四生修習。,,,英,,,LANG,英語教育中心,竹師教育學院,2,大學部,11120,,,中高級選讀英文-職場英語口語表達 Oral Communication for Professional Contexts,"彭明玉 PENG, MING-YU",22,3.73,0.1,84.5,5.02
11120LANG200035,中高級選讀英文-新聞英文聽力,NewsEnglishListening,2,W5W6,綜二203,劉文貞,24,19,1、2選:限同級數大二生，3選:限同級數大三、大四生，加退選:開放同級數大二至大四生修習。,,,英,,,LANG,英語教育中心,竹師教育學院,2,大學部,11120,,,中高級選讀英文-新聞英文聽力 News English Listening,"劉文貞 LIU, WEN-CHEN",19,3.36,0.23,79.84,11.55
11120LANG200036,中高級選讀英文-學術英語聽力,AcademicListeningTraining,2,W7W8,綜二202,林嘉瑜,24,21,1、2選:限同級數大二生，3選:限同級數大三、大四生，加退選:開放同級數大二至大四生修習。,,,英,,,LANG,英語教育中心,竹師教育學院,2,大學部,11120,,,中高級選讀英文-學術英語聽力 Academic Listening Training,"林嘉瑜 LIN, CHIA-YU",21,3.48,0.13,81.29,6.7
11120LANG200037,中高級選讀英文-中英文筆譯,Chinese-EnglishTranslation,2,W7W8,綜二104,王遠洋,30,28,1、2選:限同級數大二生，3選:限同級數大三、大四生，加退選:開放同級數大二至大四生修習。,,,英,,,LANG,英語教育中心,竹師教育學院,2,大學部,11120,,,中高級選讀英文-中英文筆譯 Chinese-English Translation,"王遠洋 WANG, YUAN-YANG",28,3.94,0.78,,
11120LANG200038,中高級選讀英文-小說選讀,SelectedEnglishNovels,2,W7W8,綜二201,徐桂平,30,26,1、2選:限同級數大二生，3選:限同級數大三、大四生，加退選:開放同級數大二至大四生修習。,,,英,,,LANG,英語教育中心,竹師教育學院,2,大學部,11120,,,中高級選讀英文-小說選讀 Selected English Novels,"徐桂平 HSU, KUEI-PING",26,3.35,0.26,79.65,13.43
11120LANG200041,中高級選讀英文-詞彙與閱讀,VocabularyandReading,2,R3R4,綜二108,張華芸,30,27,1、2選:限同級數大二生，3選:限同級數大三、大四生，加退選:開放同級數大二至大四生修習。,,,英,,,LANG,英語教育中心,竹師教育學院,2,大學部,11120,,,中高級選讀英文-詞彙與閱讀 Vocabulary and Reading,"張華芸 CHANG, HUA-YUN",27,3.23,0.18,78.37,9.05
11120LANG200042,中高級選讀英文-英文段落寫作,EnglishParagraphWriting,2,R3R4,綜二204,黃嘉瑜,16,10,1、2選:限同級數大二生，3選:限同級數大三、大四生，加退選:開放同級數大二至大四生修習。,,,英,,,LANG,英語教育中心,竹師教育學院,2,大學部,11120,,,中高級選讀英文-英文段落寫作 English Paragraph Writing,"黃嘉瑜 HUANG, CHIA-YU",10,2.28,0.32,68.8,16.07
11120LANG200043,中高級選讀英文-職場英語口語表達,OralCommunicationforProfessionalContexts,2,R3R4,教103,彭明玉,24,23,1、2選:限同級數大二生，3選:限同級數大三、大四生，加退選:開放同級數大二至大四生修習。,,,英,,,LANG,英語教育中心,竹師教育學院,2,大學部,11120,,,中高級選讀英文-職場英語口語表達 Oral Communication for Professional Contexts,"彭明玉 PENG, MING-YU",23,3.14,0.13,77.48,6.54
11120LANG200044,中高級選讀英文-英文篇章寫作,EnglishEssayWriting,2,R3R4,綜二103,蔣光煌,16,12,1、2選:限同級數大二生，3選:限同級數大三、大四生，加退選:開放同級數大二至大四生修習。,,,英,,,LANG,英語教育中心,竹師教育學院,2,大學部,11120,,,中高級選讀英文-英文篇章寫作 English Essay Writing,"蔣光煌 CHIANG,KUANG-HUANG",12,3.56,0.15,82.25,7.58
11120LANG200045,中高級選讀英文-新聞英文聽力,NewsEnglishListening,2,R5R6,綜二203,劉文貞,24,21,1、2選:限同級數大二生，3選:限同級數大三、大四生，加退選:開放同級數大二至大四生修習。,,,英,,,LANG,英語教育中心,竹師教育學院,2,大學部,11120,,,中高級選讀英文-新聞英文聽力 News English Listening,"劉文貞 LIU, WEN-CHEN",21,2.92,0.5,75,25.36
11120LANG200046,中高級選讀英文-詞彙與閱讀,VocabularyandReading,2,R5R6,綜二108,張華芸,30,29,1、2選:限同級數大二生，3選:限同級數大三、大四生，加退選:開放同級數大二至大四生修習。,,,英,,,LANG,英語教育中心,竹師教育學院,2,大學部,11120,,,中高級選讀英文-詞彙與閱讀 Vocabulary and Reading,"張華芸 CHANG, HUA-YUN",29,3.16,0.14,77.62,7.36
11120LANG200047,中高級選讀英文-新聞英文選讀,JournalisticEnglish,2,R5R6,綜二204,林靜枝,30,28,1、2選:限同級數大二生，3選:限同級數大三、大四生，加退選:開放同級數大二至大四生修習。,,,英,,,LANG,英語教育中心,竹師教育學院,2,大學部,11120,,,中高級選讀英文-新聞英文選讀 Journalistic English,"林靜枝 LIN, CHING-CHIH",28,3.7,0.11,84.14,5.69
11120LANG200048,中高級選讀英文-新聞英文選讀,JournalisticEnglish,2,R7R8,綜二204,林靜枝,30,28,1、2選:限同級數大二生，3選:限同級數大三、大四生，加退選:開放同級數大二至大四生修習。,,,英,,,LANG,英語教育中心,竹師教育學院,2,大學部,11120,,,中高級選讀英文-新聞英文選讀 Journalistic English,"林靜枝 LIN, CHING-CHIH",28,3.74,0.14,84.68,7.03
11120LANG200051,中高級選讀英文-詞彙與閱讀,VocabularyandReading,2,F5F6,綜二204,林靜枝,30,28,1、2選:限同級數大二生，3選:限同級數大三、大四生，加退選:開放同級數大二至大四生修習。,,,英,,,LANG,英語教育中心,竹師教育學院,2,大學部,11120,,,中高級選讀英文-詞彙與閱讀 Vocabulary and Reading,"林靜枝 LIN, CHING-CHIH",28,3.52,0.21,81.79,10.72
11120LANG200052,中高級選讀英文-詞彙與閱讀,VocabularyandReading,2,F7F8,綜二204,林靜枝,30,29,1、2選:限同級數大二生，3選:限同級數大三、大四生，加退選:開放同級數大二至大四生修習。,,,英,,,LANG,英語教育中心,竹師教育學院,2,大學部,11120,,,中高級選讀英文-詞彙與閱讀 Vocabulary and Reading,"林靜枝 LIN, CHING-CHIH",29,3.43,0.24,80.72,12.33
11120LANG200061,中級選讀英文-辦公室口語溝通,OralCommunicationinWorkplace,2,M5M6,綜二105,林玉書,24,23,1、2選:限同級數大二生，3選:限同級數大三、大四生，加退選:開放同級數大二至大四生修習。,,,英,,,LANG,英語教育中心,竹師教育學院,2,大學部,11120,,,中級選讀英文-辦公室口語溝通 Oral Communication in Workplace,"林玉書 LIN, YU-SHU",23,3.8,0.12,85.7,6.02
11120LANG200062,中級選讀英文-詞彙與閱讀,VocabularyandReading,2,T3T4,綜二201,汪友于,30,31,1、2選:限同級數大二生，3選:限同級數大三、大四生，加退選:開放同級數大二至大四生修習。,,,英,,,LANG,英語教育中心,竹師教育學院,2,大學部,11120,,,中級選讀英文-詞彙與閱讀 Vocabulary and Reading,"汪友于 WANG, YO-YU",31,3.62,0.26,83.03,13.38
11120LANG200063,中級選讀英文-商用短信寫作,BusinessLettersandEmailMessages,2,T7T8,綜二204,黃佩如,16,13,1、2選:限同級數大二生，3選:限同級數大三、大四生，加退選:開放同級數大二至大四生修習。,,,英,,,LANG,英語教育中心,竹師教育學院,2,大學部,11120,,,中級選讀英文-商用短信寫作 Business Letters and Email Messages,"黃佩如 HUANG, PEI-JU",13,3.36,0.14,79.85,7.16
11120LANG200064,中級選讀英文-兒童文學選讀,Children’sLiterature,2,R3R4,綜二202,林嘉瑜,30,29,1、2選:限同級數大二生，3選:限同級數大三、大四生，加退選:開放同級數大二至大四生修習。,,,英,,,LANG,英語教育中心,竹師教育學院,2,大學部,11120,,,中級選讀英文-兒童文學選讀 Children’s Literature,"林嘉瑜 LIN, CHIA-YU",29,3.44,0.35,80.86,17.53
11120LANG200065,中級選讀英文-生活英語聽講,DailyEnglishListeningandSpeaking,2,R5R6,南大1409,蔡佩蓉,24,24,1、2選:限同級數大二生，3選:限同級數大三、大四生，加退選:開放同級數大二至大四生修習。,,,英,,,LANG,英語教育中心,竹師教育學院,2,大學部,11120,,,中級選讀英文-生活英語聽講 Daily English Listening and Speaking,蔡佩蓉 KATHERINE TSAI,24,3.51,0.17,81.67,8.71
11120LANG200066,中級選讀英文-辦公室口語溝通,OralCommunicationinWorkplace,2,R7R8,南大9104,林玉書,24,24,1、2選:限同級數大二生，3選:限同級數大三、大四生，加退選:開放同級數大二至大四生修習。,,,英,,,LANG,英語教育中心,竹師教育學院,2,大學部,11120,,,中級選讀英文-辦公室口語溝通 Oral Communication in Workplace,"林玉書 LIN, YU-SHU",24,3.78,0.18,85.46,9.45
11120LANG200067,中級選讀英文-兒童文學選讀,Children’sLiterature,2,F3F4,南大1311,林嘉瑜,30,30,1、2選:限同級數大二生，3選:限同級數大三、大四生，加退選:開放同級數大二至大四生修習。,,,英,,,LANG,英語教育中心,竹師教育學院,2,大學部,11120,,,中級選讀英文-兒童文學選讀 Children’s Literature,"林嘉瑜 LIN, CHIA-YU",30,3.12,0.32,77.23,16.39
11120LANG200068,中級選讀英文-生活英語聽講,DailyEnglishListeningandSpeaking,2,F5F6,南大1411,蔡佩蓉,24,23,1、2選:限同級數大二生，3選:限同級數大三、大四生，加退選:開放同級數大二至大四生修習。,,,英,,,LANG,英語教育中心,竹師教育學院,2,大學部,11120,,,中級選讀英文-生活英語聽講 Daily English Listening and Speaking,蔡佩蓉 KATHERINE TSAI,23,3.5,0.18,81.52,9.29
11120LANG500001,學術英文寫作,AcademicResearchWriting,3,MnM5M6,綜二202,林天文,15,4,,,,英,,,LANG,英語教育中心,竹師教育學院,5,研究所,11120,,,學術英文寫作 Academic Research Writing,"林天文 LIN, TIEN-WEN",4,3.5,0.02,81.5,1.12
11120LANG500002,演說與簡報,PublicSpeakingandPresentation,3,MnM5M6,教103,陳惠芬,20,6,,,,英,,,LANG,英語教育中心,竹師教育學院,5,研究所,11120,,,演說與簡報 Public Speaking and Presentation,"陳惠芬 CHEN, HUI-FEN",6,3.66,0.09,83.5,4.79
11120LANG500003,科技英文寫作,TechnicalandScientificEnglishWriting,3,T3T4Tn,綜二203,黃芸茵,15,15,,,,英,,,LANG,英語教育中心,竹師教育學院,5,研究所,11120,,,科技英文寫作 Technical and Scientific English Writing,"黃芸茵 HUANG, YUN-YIN",15,3.89,0.31,,
11120LANG500004,學術英文寫作,AcademicResearchWriting,3,TnT5T6,綜二202,林天文,15,10,,,,英,,,LANG,英語教育中心,竹師教育學院,5,研究所,11120,,,學術英文寫作 Academic Research Writing,"林天文 LIN, TIEN-WEN",9,3.52,0.08,81.78,4.34
11120LANG500005,學術閱讀與討論,AcademicEnglishReading&Discussion,3,TnT5T6,綜二201,汪友于,24,4,,,,英,,,LANG,英語教育中心,竹師教育學院,5,研究所,11120,,,學術閱讀與討論 Academic English Reading & Discussion,"汪友于 WANG, YO-YU",4,3.8,0.01,85.75,0.83
11120LANG500006,科技英文寫作,TechnicalandScientificEnglishWriting,3,T7T8T9,綜二203,黃芸茵,15,15,,,,英,,,LANG,英語教育中心,竹師教育學院,5,研究所,11120,,,科技英文寫作 Technical and Scientific English Writing,"黃芸茵 HUANG, YUN-YIN",14,3.93,0.32,,
11120LANG500007,演說與簡報,PublicSpeakingandPresentation,3,W3W4Wn,綜二203,黃芸茵,20,20,,,,英,,,LANG,英語教育中心,竹師教育學院,5,研究所,11120,,,演說與簡報 Public Speaking and Presentation,"黃芸茵 HUANG, YUN-YIN",20,3.87,0.36,,
11120LANG500008,科技英文寫作,TechnicalandScientificEnglishWriting,3,W3W4Wn,綜二108,王遠樵,15,10,,,,英,,,LANG,英語教育中心,竹師教育學院,5,研究所,11120,,,科技英文寫作 Technical and Scientific English Writing,"王遠樵 WANG, YUAN-CHIAO",10,3.8,0.04,85.8,2.23
11120LANG500009,學術英文寫作,AcademicResearchWriting,3,WnW5W6,綜二103,陳麒方,15,14,,,,英,,,LANG,英語教育中心,竹師教育學院,5,研究所,11120,,,學術英文寫作 Academic Research Writing,"陳麒方 CHEN, CHI-FANG",14,4.04,0.11,,
11120LANG500010,學術閱讀與討論,AcademicEnglishReading&Discussion,3,W7W8W9,綜二103,陳麒方,24,3,,,,英,,,LANG,英語教育中心,竹師教育學院,5,研究所,11120,,,學術閱讀與討論 Academic English Reading & Discussion,"陳麒方 CHEN, CHI-FANG",3,4,0,,
11120LANG500011,演說與領袖特質,LeadershipthroughPublicSpeaking,3,W7W8W9,綜二108,王遠樵,20,3,,,,英,,,LANG,英語教育中心,竹師教育學院,5,研究所,11120,,,演說與領袖特質 Leadership through Public Speaking,"王遠樵 WANG, YUAN-CHIAO",3,3.74,0.02,84.67,1.25
11120LANG500013,學術閱讀與討論,AcademicEnglishReading&Discussion,3,RnR5R6,綜二105,汪友于,24,6,,,,英,,,LANG,英語教育中心,竹師教育學院,5,研究所,11120,,,學術閱讀與討論 Academic English Reading & Discussion,"汪友于 WANG, YO-YU",6,3.86,0.03,86.67,1.8
11120LE120101,基礎越南語一,VietnameseBasicⅠ,2,M5M6,綜二104,段雅芳,35,13,,,,中,,,LE,語文中心,清華學院,1,大學部,11120,,,基礎越南語一 Vietnamese BasicⅠ,段雅芳 DOAN THI NHA PHUONG,13,4.02,0.08,89.92,4.3
11120LE120102,基礎越南語一,VietnameseBasicⅠ,2,M7M8,綜二104,段雅芳,35,16,,,,中,,,LE,語文中心,清華學院,1,大學部,11120,,,基礎越南語一 Vietnamese BasicⅠ,段雅芳 DOAN THI NHA PHUONG,16,4.03,0.08,90.31,4.09
11120LE120200,基礎越南語二,VietnameseBasicII,3,RnR5R6,綜二201,段雅芳,35,11,,,,中,,,LE,語文中心,清華學院,1,大學部,11120,,,基礎越南語二 Vietnamese Basic II,段雅芳 DOAN THI NHA PHUONG,11,4.02,0.08,89.73,4.49
11120LE130100,基礎泰語一,ThaiBasicI,3,F7F8F9,綜二108,張君松,60,23,,,,中,,,LE,語文中心,清華學院,1,大學部,11120,,,基礎泰語一 Thai Basic I,張君松 PHOPARISUT PIPAT,23,4.05,0.13,91.04,6.89
11120LE130200,基礎泰語二,ThaiBasicII,3,FnF5F6,綜二108,張君松,60,30,,,,中,,,LE,語文中心,清華學院,1,大學部,11120,,,基礎泰語二 Thai Basic II,張君松 PHOPARISUT PIPAT,30,4.12,0.1,93.7,5.08
11120LE140200,基礎印尼語二,BahasaIndonesia-BasicII,3,R7R8R9,綜二103,尤溫柔,30,8,,,,中,,,LE,語文中心,清華學院,1,大學部,11120,,,基礎印尼語二 Bahasa Indonesia- Basic II,尤溫柔 JULIWATI JOE,8,4.17,0.05,95.25,2.95
11120LE150100,基礎馬來語一,MalayBasicI,3,TnT5T6,綜二104,邱彩韻,30,17,,,,中,,,LE,語文中心,清華學院,1,大學部,11120,,,基礎馬來語一 Malay Basic I,"邱彩韻 KU, CHAI-YEUN",17,4.14,0.14,94.18,7.47
11120LE230200,中級泰語二,ThaiIntermediateII,3,F2F3F4,綜二110,張君松,35,10,,,,中,,,LE,語文中心,清華學院,2,大學部,11120,,,中級泰語二 Thai Intermediate II,張君松 PHOPARISUT PIPAT,10,4.19,0.04,96.1,2.17
11120LING500200,音韻學二,Phonology(II),3,T7T8T9,人社C519,謝豐帆,,15,本課程為16週課程,"語言所111D選修,語言所111M必修",,英,,,LING,語言學研究所,人文社會學院,5,研究所,11120,,,音韻學二 Phonology(II),"謝豐帆 HSIEH, FENG-FAN",15,3.13,0.82,,
11120LING500400,句法學二,Syntax(II),3,W6W7W8,人社C519,蔡維天,,15,本課程週數為16週,"語言所111D選修,語言所111M必修",,中,,,LING,語言學研究所,人文社會學院,5,研究所,11120,,,句法學二 Syntax(II),"蔡維天 TSAI, WEI-TIEN",15,3.93,0.09,87.87,4.92
11120LING575100,進階形式語意學,AdvancedFormalSemantics,3,F6F7F8,人社C519,謝易達,,4,本課程週數為16週,"語言所111D選修,語言所111M選修",,英,,,LING,語言學研究所,人文社會學院,5,研究所,11120,,,進階形式語意學 Advanced Formal Semantics,"謝易達 HSIEH, I-TA",4,4,0,,
11120LING600200,論文研究,Thesis,0,,,指導教授,,12,限語言所碩三以上修習,語言所111M必修,,中,,,LING,語言學研究所,人文社會學院,6,研究所,11120,,,,,,,,,
11120LING700200,論文研究,Thesis,0,,,指導教授,,12,限語言所博三以上修習,語言所111D必修,,中,,,LING,語言學研究所,人文社會學院,7,研究所,11120,,,,,,,,,
11120LING703300,句法/語意實驗方法與統計,ExperimentalMethodsandStatisticsinSyntax/Semantics,3,R6R7R8,人社C519,蘇宜青,,3,此課程週數為16週,"語言所111D選修,語言所111M選修",,英,,,LING,語言學研究所,人文社會學院,7,研究所,11120,,,句法/語意實驗方法與統計 Experimental Methods and Statistics in Syntax/Semantics,"蘇宜青 SU, YI-CHING",3,4.1,0.14,,
11120LING703600,瀕危語言與語言記載,EndangeredLanguagesandLanguageDocumentation,3,W2W3W4,人社C519,廖秀娟,,10,此課程週數為16週,"語言所111D選修,語言所111M選修",,英,,,LING,語言學研究所,人文社會學院,7,研究所,11120,,(跨領域)世界南島暨原住民族學分學程,瀕危語言與語言記載 Endangered Languages and Language Documentation,"廖秀娟 LIAO, HSIU-CHUAN",10,3.93,0.35,,
11120LING703700,非典疑問句的比較語法研究,ComparativeSyntaxofNon-canonicalWh-constructions,3,R6R7R8,人社B305,蔡維天,,11,此課程週數為16週,"語言所111D選修,語言所111M選修",,中,,,LING,語言學研究所,人文社會學院,7,研究所,11120,,,非典疑問句的比較語法研究 Comparative Syntax of Non-canonical Wh-constructions,"蔡維天 TSAI, WEI-TIEN",11,4.11,0.06,93.18,3.41
11120LING703800,標籤理論與主語問題,LabelingTheoryandQuestionsofSubject,3,T2T3T4,人社C519,林宗宏,,3,,"語言所111D選修,語言所111M選修",,中,,,LING,語言學研究所,人文社會學院,7,研究所,11120,,,標籤理論與主語問題 Labeling Theory and Questions of Subject,"林宗宏 LIN, TZONG-HONG",3,4,0,,
11120LING703900,西拉雅語法相關問題：分析與重建,QuestionsinSirayaGrammar:AnalysisandReconstruction,3,W2W3W4,人社B305,林宗宏,,3,,"語言所111D選修,語言所111M選修",,中,,,LING,語言學研究所,人文社會學院,7,研究所,11120,,,西拉雅語法相關問題：分析與重建 Questions in Siraya Grammar: Analysis and Reconstruction,"林宗宏 LIN, TZONG-HONG",3,4,0,,
11120LING704000,構音音韻學,ArticulatoryPhonology,3,T3T4Tn,人社B305,謝豐帆,,7,此課程週數為16週,"語言所111D選修,語言所111M選修",,英,,,LING,語言學研究所,人文社會學院,7,研究所,11120,,,構音音韻學 Articulatory Phonology,"謝豐帆 HSIEH, FENG-FAN",7,3.94,0.28,,
11120LS110301,生命科學導論,IntroductiontoLifeScience,3,W7W8W9,生二107,"高茂傑,郭立園,林亦凡",50,49,,,,中,,,LS,生命科學系,生命科學暨醫學院,1,大學部,11120,,(跨領域)生物科技管理學分學程,生命科學導論 Introduction to Life Science,"高茂傑 KAO, MOU-CHIEH 郭立園 KUO, LI-YAUNG 林亦凡 LIN, YI-FAN",49,3.6,0.24,82.76,12.36
11120LS110302,生命科學導論,IntroductiontoLifeScience,3,R7R8R9,生二109,"桑自剛,張慧雲,陳韋靜",50,22,,,,中,,,LS,生命科學系,生命科學暨醫學院,1,大學部,11120,,(跨領域)生物科技管理學分學程,生命科學導論 Introduction to Life Science,"桑自剛 SANG, TZU-KANG 張慧雲 CHANG, HUI-YUN 陳韋靜 CHEN, WEI-CHING",22,2.85,0.38,74.05,19.35
11120LS180200,基礎生命科學實驗,BasicLifeScienceLaboratory,2,T5T6T7T8,生二103,"彭明德,林玉俊",55,47,,生科系111B必修,,中,,,LS,生命科學系,生命科學暨醫學院,1,大學部,11120,,,基礎生命科學實驗 Basic Life Science Laboratory,"彭明德 PERNG, MING-DER 林玉俊 LIN, YU-CHUN",47,3.04,0.11,76.49,5.59
11120LS192200,生科研究導讀二,LifeScienceResearchIntroductionII,1,R6,生二109,"汪宏達,李以如",,46,,生科系111B選修,,中,,,LS,生命科學系,生命科學暨醫學院,1,大學部,11120,,,生科研究導讀二 Life Science Research Introduction II,"汪宏達 WANG, HORNG-DAR 李以如 LEE, I-JU",46,3.94,0.1,88,5.41
11120LS214600,未來地球生態學二,FutureEarthEcologyII,3,S2S3S4,生二107,"郭立園,黃貞祥,顏士清",0,7,請有上課的同學開學後找授課教師加簽選課,生科系110B選修,,中,,,LS,生命科學系,生命科學暨醫學院,2,大學部,11120,,,未來地球生態學二 Future Earth Ecology II,"郭立園 KUO, LI-YAUNG 黃貞祥 NG, CHEN SIANG 顏士清 YEN, SHIH-CHING",7,4.09,0.21,,
11120LS220400,分子與細胞生物學一,MolecularandCellularBiologyI,3,T3T4R4,生二105,"王歐力,傅化文,林郁婷",85,67,OnlyDr.Wagner'scoursewillbeofferedinEnglish,生科系110B必修,,中,,,LS,生命科學系,生命科學暨醫學院,2,大學部,11120,"生命科學(第二專長),生命科學(第一專長)",(跨領域)生物產業技術學分學程/(跨領域)生物資訊學分學程/(跨領域)微系統科技整合學分學程/(跨領域)神經科學學分學程,分子與細胞生物學一 Molecular and Cellular Biology I,"王歐力 WANG OU-LI 傅化文 FU, HUA-WEN 林郁婷 LIN, YU-TING",67,1.99,0.42,65.97,21.32
11120LS262200,生物統計學,Biostatistics,3,T6R7R8,生二220,張筱涵,30,31,彈性學期週數16週,生科系110B選修,,中,,,LS,生命科學系,生命科學暨醫學院,2,大學部,11120,生命科學(第一專長),(跨領域)生物資訊學分學程/(跨領域)數據科學學分學程/(跨領域)神經科學學分學程,生物統計學 Biostatistics,"張筱涵 CHANG, HSIAO-HAN",30,3.57,0.18,82.47,9.16
11120LS282100,細胞生物學實驗,CellBiologyLaboratory,2,W5W6W7W8,生二325,"陳令儀,林玉俊",18,21,,生科系110B選修,,中,,,LS,生命科學系,生命科學暨醫學院,2,大學部,11120,"生命科學(第二專長),生命科學(第一專長)",,細胞生物學實驗 Cell Biology Laboratory,"陳令儀 CHEN, LINYI 林玉俊 LIN, YU-CHUN",21,3.75,0.12,84.95,6.33
11120LS311100,遺傳學,Genetics,3,M3M4W2,生二105,"李政昇,張筱涵,廖品超",,62,彈性學期週數16週,生科系109B必修,,中,,,LS,生命科學系,生命科學暨醫學院,3,大學部,11120,"生命科學(第二專長),生命科學(第一專長)",(跨領域)生物資訊學分學程,遺傳學 Genetics,"李政昇 LEE, CHENG-SHENG 張筱涵 CHANG, HSIAO-HAN 廖品超 LIAO, PIN-CHAO",61,2.44,0.25,70.1,12.7
11120LS312200,微生物學,Microbiology,3,M5M6R5,生二107,"高茂傑,藍忠昱,殷献生",,22,,生科系109B選修,,中,,,LS,生命科學系,生命科學暨醫學院,3,大學部,11120,"生命科學(第二專長),生命科學(第一專長)",(跨領域)生物產業技術學分學程,微生物學 Microbiology,"高茂傑 KAO, MOU-CHIEH 藍忠昱 LAN, CHUNG-YU 殷Y生 YIN, HSIEN-SHENG",22,3.2,0.25,78.05,12.7
11120LS314600,動物行為學,AnimalBehavior,2,RnR5,生二109,郭崇涵,,48,彈性學期週數17週,生科系109B選修,,中,,,LS,生命科學系,生命科學暨醫學院,3,大學部,11120,,(跨領域)神經科學學分學程,動物行為學 Animal Behavior,"郭崇涵 KUO, TSUNG-HAN",48,3.69,0.1,83.96,5.33
11120LS321000,宇宙與生命,UniverseandLife,2,W7W8,生二105,吳文桂,60,47,,生科系109B選修,,中,*3,自然科學領域ElectiveGEcourse:NaturalSciences,LS,生命科學系,生命科學暨醫學院,3,大學部,11120,,,宇宙與生命 Universe and Life,"吳文桂 WU, WEN-GUEY",47,3.48,0.1,81.28,5.15
11120LS340200,分子與細胞生物學三,MolecularandCellularBiologyIII,3,T5F5F6,生二109,"王翊青,周裕珽,張壯榮",,69,,生科系109B必修,,中,,,LS,生命科學系,生命科學暨醫學院,3,大學部,11120,"生命科學(第二專長),生命科學(第一專長)",(跨領域)生物產業技術學分學程/(跨領域)生物資訊學分學程,分子與細胞生物學三 Molecular and Cellular Biology III,"王翊青 WANG, I-CHING 周裕珽 CHOU, YU-TING 張壯榮 CHANG, CHUANG-RUNG",68,3.25,0.22,78.5,11.18
11120LS344300,神經退化分子遺傳機制,MolecularGeneticsofNeurodegeneration,2,T7T8,生二213,張慧雲,10,7,,生科系109B選修,,英,,,LS,生命科學系,生命科學暨醫學院,3,大學部,11120,,,神經退化分子遺傳機制 Molecular Genetics of Neurodegeneration,"張慧雲 CHANG, HUI-YUN",7,4.06,0.04,91.43,2.06
11120LS374300,行為神經科學,BehavioralNeuroscience,2,F3F4,生二206,張鈞惠,20,9,建議先修習「神經生物學」,生科系109B選修,,英,,,LS,生命科學系,生命科學暨醫學院,3,大學部,11120,,(跨領域)神經科學學分學程,行為神經科學 Behavioral Neuroscience,"張鈞惠 CHANG, CHUN-HUI",9,3.78,0.15,85.33,7.69
11120LS383100,專題實驗,Undergraduatelaboratoryexperiments,1,,,指導教授,,8,指導教授限生科院專任教師或經系主任核可,生科系109B選修,,中,,,LS,生命科學系,生命科學暨醫學院,3,大學部,11120,,,專題實驗 Undergraduate laboratory experiments,指導教授,8,4.26,0.1,,
11120LS384200,微生物學實驗,MicrobiologyLaboratory,2,R6R7R8R9,生二321,"高茂傑,藍忠昱,殷献生",24,21,,生科系109B選修,,中,,,LS,生命科學系,生命科學暨醫學院,3,大學部,11120,"生命科學(第二專長),生命科學(第一專長)",(跨領域)生物產業技術學分學程,微生物學實驗 Microbiology Laboratory,"高茂傑 KAO, MOU-CHIEH 藍忠昱 LAN, CHUNG-YU 殷Y生 YIN, HSIEN-SHENG",20,3.71,0.08,84.25,4.31
11120LS390201,書報討論,Seminar,1,R2,生二107,王雯靜,12,9,,生科系109B必修,,中,,,LS,生命科學系,生命科學暨醫學院,3,大學部,11120,生命科學(第一專長),,書報討論 Seminar,"王雯靜 WANG, WEN-CHING",9,3.94,0.14,88,7.29
11120LS390202,書報討論,Seminar,1,R2,生二217,李以如,12,10,,生科系109B必修,,中,,,LS,生命科學系,生命科學暨醫學院,3,大學部,11120,生命科學(第一專長),,書報討論 Seminar,"李以如 LEE, I-JU",10,3.52,0.19,81.8,9.83
11120LS390203,書報討論,Seminar,1,R2,生二213,廖品超,12,10,,生科系109B必修,,中,,,LS,生命科學系,生命科學暨醫學院,3,大學部,11120,生命科學(第一專長),,書報討論 Seminar,"廖品超 LIAO, PIN-CHAO",10,3.46,0.26,81.1,13.21
11120LS390204,書報討論,Seminar,1,R2,生二206,謝琬甄,12,10,,生科系109B必修,,中,,,LS,生命科學系,生命科學暨醫學院,3,大學部,11120,生命科學(第一專長),,書報討論 Seminar,"謝琬甄 HSIEH, WAN-CHEN",10,3.94,0.11,88.1,5.8
